"Timestamp","What is your age?","Which Social Media platform/s do you like the most or use the most?","How much time do you spend on social media in a day?(hrs)","How much time do you spend on physical activities in a day?(hrs)","How much do you feel that you are exposed to inappropriate content on these platforms?","Have you ever been a victim of any of these cyber crimes?","Which type of communication do you generally prefer?"
"2022/01/17 9:39:25 pm GMT+5:30","47","Instagram","1 to 2.5","More than 4","4","Photos being misused;Hacking",""
"2022/01/17 9:39:29 pm GMT+5:30","15","Whatsapp","1 to 2.5","Less than 1","6","Hacking;None","Text message;Face to face"
"2022/01/17 9:39:41 pm GMT+5:30","56","Twitter;Youtube;Snapchat","Less than 1","Up to 4","2","Hacking;None","Through phone;Through social media"
"2022/01/17 9:39:47 pm GMT+5:30","43","Whatsapp;Instagram;Snapchat","More than 4","None","7","Photos being misused;None","Text message;Through social media"
"2022/01/17 9:39:48 pm GMT+5:30","27","Whatsapp;Instagram;Snapchat","1 to 2.5","None","9","Fake profiles;Photos being misused","Through phone;Face to face"
"2022/01/17 9:39:58 pm GMT+5:30","13","Twitter;Whatsapp;Instagram","More than 4","None","0","Photos being misused;None","Through phone;Through social media"
"2022/01/17 9:40:04 pm GMT+5:30","38","Facebook;Youtube;Snapchat","Up to 4","None","10","None","Text message;Through social media"
"2022/01/17 9:40:05 pm GMT+5:30","31","Whatsapp","Less than 1","Up to 4","10","Fake profiles;Photos being misused","Text message;Face to face"
"2022/01/17 9:40:11 pm GMT+5:30","30","Whatsapp;Hike;Snapchat","More than 4","1 to 2.5","3","Fake profiles;Hacking","Text message;Through social media"
"2022/01/17 9:49:11 pm GMT+5:30","17","Whatsapp","Less than 1","1 to 2.5","6","Photos being misused;None","Face to face"
"2022/01/17 9:49:20 pm GMT+5:30","18","Facebook;Youtube;Hike","More than 4","Up to 4","4","Photos being misused;None",""
"2022/01/17 9:49:28 pm GMT+5:30","56","Facebook;Instagram;Hike","1 to 2.5","Less than 1","4","Photos being misused;None",""
"2022/01/17 9:49:53 pm GMT+5:30","55","Whatsapp;Youtube;Snapchat","More than 4","More than 4","2","Fake profiles;Hacking",""
"2022/01/17 9:50:09 pm GMT+5:30","40","Twitter;Whatsapp;Instagram","1 to 2.5","1 to 2.5","6","Fake profiles;None",""
"2022/01/17 9:50:19 pm GMT+5:30","11","Twitter;Whatsapp;Facebook","Up to 4","1 to 2.5","5","Fake profiles;None",""
"2022/01/17 9:50:28 pm GMT+5:30","30","Whatsapp;Instagram;Snapchat","Up to 4","Less than 1","5","Fake profiles;None","Through phone"
"2022/01/17 9:50:32 pm GMT+5:30","11","Facebook","1 to 2.5","Less than 1","0","Fake profiles;None",""
"2022/01/17 9:50:40 pm GMT+5:30","56","Whatsapp;Facebook;Youtube","1 to 2.5","None","7","Photos being misused;None","Through phone;Text message;Through social media"
"2022/01/17 9:50:59 pm GMT+5:30","17","Facebook","Less than 1","More than 4","1","Fake profiles;Photos being misused",""
"2022/01/17 9:51:03 pm GMT+5:30","63","Twitter;Facebook;Instagram","Up to 4","Less than 1","7","Fake profiles;Photos being misused",""
"2022/01/17 9:51:12 pm GMT+5:30","69","Facebook;Youtube;Hike","1 to 2.5","1 to 2.5","6","Hacking;None","Through phone"
"2022/01/17 9:51:16 pm GMT+5:30","48","Instagram;Hike;Snapchat","Up to 4","None","3","Fake profiles;Hacking","Text message"
"2022/01/17 9:51:25 pm GMT+5:30","49","Facebook;Instagram;Youtube","Less than 1","Up to 4","6","Fake profiles;None","Face to face"
"2022/01/17 9:51:29 pm GMT+5:30","43","Twitter;Youtube;Snapchat","More than 4","1 to 2.5","8","Photos being misused;Hacking","Text message"
"2022/01/17 9:51:38 pm GMT+5:30","12","Facebook;Youtube;Snapchat","Less than 1","1 to 2.5","2","Photos being misused;None",""
"2022/01/17 9:51:42 pm GMT+5:30","20","Instagram;Youtube;Hike","Up to 4","Less than 1","5","Fake profiles;Photos being misused","Text message;Face to face"
"2022/01/17 9:51:51 pm GMT+5:30","30","Youtube","Less than 1","1 to 2.5","3","Photos being misused;None","Through phone;Face to face;Through social media"
"2022/01/17 9:51:53 pm GMT+5:30","69","Instagram;Hike;Snapchat","More than 4","Less than 1","8","Photos being misused","Through phone;Face to face"
"2022/01/17 9:52:00 pm GMT+5:30","44","Twitter;Whatsapp;Facebook","1 to 2.5","None","6","Fake profiles;Hacking","Through phone;Text message;Face to face"
"2022/01/17 9:52:09 pm GMT+5:30","63","Twitter","Up to 4","1 to 2.5","10","Fake profiles;Photos being misused","Through social media"
"2022/01/17 9:52:18 pm GMT+5:30","18","Twitter;Hike;Snapchat","More than 4","More than 4","0","Photos being misused;Hacking",""
"2022/01/17 9:52:23 pm GMT+5:30","61","Twitter;Whatsapp;Youtube","Up to 4","1 to 2.5","2","Fake profiles;Photos being misused","Through social media"
"2022/01/17 9:52:32 pm GMT+5:30","32","Youtube;Hike;Snapchat","More than 4","None","6","Hacking;None","Through phone;Text message;Through social media"
"2022/01/17 9:52:44 pm GMT+5:30","65","Whatsapp;Hike;Snapchat","Up to 4","More than 4","6","Photos being misused;None","Through phone;Face to face;Through social media"
"2022/01/17 9:52:57 pm GMT+5:30","17","Facebook","Up to 4","More than 4","10","Photos being misused;Hacking","Text message"
